Unidad,laghoras,FrecuenciaUnidad,MTBF,Tipo,Anio
1801,7234,40,38.15,General,2022
10207,6732,23,88.17391304347827,General,2022
1800,3458,55,96.4,General,2022
10216,6240,25,100.8,General,2022
1805,3896,47,103.48936170212765,General,2022
1799,4861,32,121.84375,General,2022
10192,5487,17,192.52941176470588,General,2022
10173,3449,26,204.26923076923077,General,2022
1834,4813,19,207.73684210526315,General,2022
D-2164,2298,27,239.33333333333334,General,2022
1803,2005,28,241.25,General,2022
1808,648,30,270.4,General,2022
D-2168,1687,26,272.03846153846155,General,2022
D-2172,2840,20,296.0,General,2022
10248,2234,21,310.76190476190476,General,2022
10196,4037,15,314.8666666666667,General,2022
D-2161,1469,23,317.0,General,2022
10176,1720,22,320.0,General,2022
10255,2689,18,337.27777777777777,General,2022
10186,2632,18,340.44444444444446,General,2022
D-2165,1523,21,344.6190476190476,General,2022
10188,1640,20,356.0,General,2022
10180,1771,19,367.8421052631579,General,2022
10213,1394,19,387.6842105263158,General,2022
10249,1528,17,425.4117647058824,General,2022
10232,988,18,431.77777777777777,General,2022
10177,504,19,434.5263157894737,General,2022
10190,2562,14,442.7142857142857,General,2022
D-2170,921,16,489.9375,General,2022
10191,2071,13,514.5384615384615,General,2022
D-2187,1999,13,520.0769230769231,General,2022
10181,377,15,558.8666666666667,General,2022
10175,806,14,568.1428571428571,General,2022
10197,2800,9,662.2222222222222,General,2022
10183,630,11,739.0909090909091,General,2022
10211,1408,9,816.8888888888889,General,2022
10223,1342,9,824.2222222222222,General,2022
D-2175,845,9,879.4444444444445,General,2022
10244,1294,8,933.25,General,2022
10258,1233,8,940.875,General,2022
10231,1639,7,1017.2857142857143,General,2022
10172,387,8,1046.625,General,2022
10171,1049,7,1101.5714285714287,General,2022
10195,926,7,1119.142857142857,General,2022
D-2169,293,7,1209.5714285714287,General,2022
10187,193,5,1713.4,General,2022
D-2188,10,5,1750.0,General,2022
10193,877,4,1970.75,General,2022
10221,643,3,2705.6666666666665,General,2022
10224,26,3,2911.3333333333335,General,2022
53846,24,1,8736.0,General,2022
